,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,link,username,datetime,tweet_text,impressions,likes,longitude,latitude,field_1,timestamp,year,month,day,hour,minute,second,contains_keyword,keyword
133,133,386366,386366,11,https://twitter.com/lunatochtli/status/1520309825384726528,@lunatochtli,2022-04-30T07:51:23.000Z,"oh hi - it’s much later. Malted corn is still dehydrated. I pulverized it into a powder (like a sweet funky pinole). Poured it into boiling water, cooking, stirring for 1 hr. Then added piloncillo & guajillo paste.

Will now ferment for about 4 days. We’ll see.",,7.0,30.27522858391122,-97.71617412761168,,1651323083.0,2022,4,30,7,51,23,True,boiling
281,281,37947,37947,6,https://twitter.com/MichaelEWebber/status/1520468017028734977,@MichaelEWebber,2022-04-30T18:19:58.000Z,Watching my son at a hot soccer game under the shade of my umbrella.,,16.0,30.23493249721793,-97.84629077701496,,1651360798.0,2022,4,30,18,19,58,True,hot
453,453,64455,64455,34,https://twitter.com/killshotkristin/status/1520592684406161410,@killshotkristin,2022-05-01T02:35:21.000Z,"Gorgeous night @radiocoffeeandbeer listening to  Sasha KA & the hottest guitarist around, 
@langfreeman
  @ Radio Coffee & Beer https://instagram.com/p/Cc_7WjHNpzAeIowyDOwvikGKa7dRoi606POl700/?igshid=YTgzYjQ4ZTY=…",,,30.23172267303068,-97.79053286802076,,1651390521.0,2022,5,1,2,35,21,True,hot
458,458,44242,44242,33,https://twitter.com/oldsheepdog_ay/status/1520596225229213696,@oldsheepdog_ay,2022-05-01T02:49:26.000Z,"Humid ride into work tonight but that max speed though 
#notbadforanoldguy",,,30.232049963784235,-97.82652594463435,,1651391366.0,2022,5,1,2,49,26,True,humid
505,505,329750,329750,812,https://twitter.com/iwaspoisoned_/status/1520668065935024128,@iwaspoisoned_,2022-05-01T07:34:54.000Z,"Walmart, Lucky Charms - Austin, Texas - I have been nauseous for 4 months now,  I did eat lucky charms but I didn't think that would be the reason I did feel fatigue. I woul... Food Poisoning https://iwaspoisoned.com/i/j3LWRbN #walmart #luckycharms #fatigue #diarrhea #nausea",,,30.26733617391719,-97.73968296780768,,1651408494.0,2022,5,1,7,34,54,True,fatigue
581,581,443408,443408,12,https://twitter.com/schnerk/status/1520798417861201923,@schnerk,2022-05-01T16:12:52.000Z,Not a bad way to prep for a humid and warm soccer game. Thanks @briskit_wispuhrer & the @brothertonsbbqpftx team! #eatlocal #TXBBQ @ Brotherton's Black Iron Barbecue,,,30.4460246695014,-97.65261430970304,,1651439572.0,2022,5,1,16,12,52,True,humid
734,734,356029,356029,17,https://twitter.com/MichelleS_tv/status/1520879789149769728,@MichelleS_tv,2022-05-01T21:36:12.000Z,Sunday sweat session ,,6.0,30.396262802312613,-97.72901641822148,,1651458972.0,2022,5,1,21,36,12,True,sweat
780,780,300518,300518,5366,https://twitter.com/a_j_t_j_a/status/1520910804479922176,@a_j_t_j_a,2022-05-01T23:39:27.000Z,Sunday Morning: #WWII Memorial just south of the #Texas line. The sun gave the monument a special glow. #RoadTrip #TX @ Texas https://instagram.com/p/CdCMBKUr6t0/?igshid=YTgzYjQ4ZTY=…,,,30.26832471419792,-97.74867281176928,,1651466367.0,2022,5,1,23,39,27,True,glow
936,936,451182,451182,286,https://twitter.com/GailAlfarATX/status/1521144920576253952,@GailAlfarATX,2022-05-02T15:09:45.000Z,"Giga Texas’ Solar Roof will be massive!  
 
@JoeTegtmeyer
 5/2/2022",,181,30.22191359399337,-97.61968767568912,,1651522185.0,2022,5,2,15,9,45,True,solar
1078,1078,401211,401211,13,https://twitter.com/camposmace/status/1521229858520674304,@camposmace,2022-05-02T20:47:16.000Z,"@mediciroasting
 drinking Papúa New Guinea washed coffee in this beautiful coffee house. There are trained good looking baristas. @ Medici Roasting",,,30.26691317103045,-97.6964773373565,,1651542436.0,2022,5,2,20,47,16,True,roasting
1169,1169,310026,310026,498,https://twitter.com/johnpaoloaqui/status/1521304072564920321,@johnpaoloaqui,2022-05-03T01:42:10.000Z,The love for #teamdennis is REAL! #SpringBakingChampionship,,12,30.265600873447795,-97.74690691316562,,1651560130.0,2022,5,3,1,42,10,True,baking
1189,1189,409704,409704,3641,https://twitter.com/andrerezaie/status/1521331019101655041,@andrerezaie,2022-05-03T03:29:14.000Z,I don’t even want to know what we’ll have to deal with in August when we’ve got 114° degree temps and the power is out,,,30.44635585773107,-97.6850769652564,,1651566554.0,2022,5,3,3,29,14,True,degree
1203,1203,291729,291729,252,https://twitter.com/buggsnax/status/1521358857028747274,@buggsnax,2022-05-03T05:19:51.000Z,"in a heat wave 
@snailmail",,,30.265635280097527,-97.750507370152,,1651573191.0,2022,5,3,5,19,51,True,heat
1207,1207,300481,300481,5329,https://twitter.com/shellyrosegold/status/1521396111742808064,@shellyrosegold,2022-05-03T07:47:53.000Z,"Had a great time in #Austin #Texas visiting my sister and brother-in-law… #Kayaking #comedy #chatting #music #sunshine #BBQ ahh it was a blast!  love you guys  @mattwaynesbrain @shegotjujueyeballs @ Austin, Texas",,,30.26832471419792,-97.74867281176928,,1651582073.0,2022,5,3,7,47,53,True,sunshine
1290,1290,48114,48114,826,https://twitter.com/rahilla/status/1521529898413740038,@rahilla,2022-05-03T16:39:31.000Z,"Glad to have the opportunity to tell the story of artists in  , thanks to 
@GianniDalerta
 & 
@Tropical_Jewel",,10.0,30.22926235814528,-97.8175600133958,,1651613971.0,2022,5,3,16,39,31,True,tropic
1392,1392,317344,317344,465,https://twitter.com/AguilarLeonard/status/1521619217279246337,@AguilarLeonard,2022-05-03T22:34:26.000Z,It’s going to be a hot summer.,,4,30.2745884282616,-97.74319152024356,,1651635266.0,2022,5,3,22,34,26,True,hot
1691,1691,409634,409634,3571,https://twitter.com/AntonyJosephind/status/1521891679145537536,@AntonyJosephind,2022-05-04T16:37:06.000Z,#savetheearth #savetheplanet #SaveTheOcean #ClimateActionNow #ClimateAction #ClimateEmergency #ClimateCrisis #ClimateJustice,,,30.44635585773107,-97.6850769652564,,1651700226.0,2022,5,4,16,37,6,True,climate
1750,1750,68850,68850,39,https://twitter.com/KVRX/status/1521923973797363713,@KVRX,2022-05-04T18:45:25.000Z,"On May 18, we’re hosting our last show of the school year at 
@FarOutLounge
 

Join us for performances from artists: 
@wdrll4
, 
@urbanheatband
 and 
@DieSpitz
. Tickets are now available for $10 at http://kvrx.org/farout 

Save the date and see you there!

poster: gabi williams",,17.0,30.173946660510524,-97.78764153883374,,1651707925.0,2022,5,4,18,45,25,True,heat
1789,1789,67206,67206,32,https://twitter.com/MakeItRainShane/status/1521949278989688840,@MakeItRainShane,2022-05-04T20:25:59.000Z,"Thank you to 
@LCRA
 for hosting local meteorologists today to learn about the lake system during droughts and floods! We even got to tour the top of Tom Miller Dam. ",,57.0,30.294844921800696,-97.78615692459164,,1651713959.0,2022,5,4,20,25,59,True,drought
1829,1829,333703,333703,169,https://twitter.com/jpaulreed/status/1521969341725655041,@jpaulreed,2022-05-04T21:45:42.000Z,REALLY powerful/useful burnout+mental health in tech open space at #DevOpsDays…,,5,30.28446069669232,-97.73766332240876,,1651718742.0,2022,5,4,21,45,42,True,burn
1831,1831,36641,36641,6,https://twitter.com/lisdptacc/status/1521970244599922688,@lisdptacc,2022-05-04T21:49:17.000Z,We are open tonight (5/4/22) from 4:45pm-7:15pm at BOTH locations! It is going to be in the triple digits this weekend - be sure to stop by & get some cool weather clothes! Tonight & Saturday are perfect times to have your student shop for themselves too!,,7,30.39014861414188,-97.84807646842845,,1651718957.0,2022,5,4,21,49,17,True,weather
1930,1930,409620,409620,3557,https://twitter.com/AntonyJosephind/status/1522036312957726725,@AntonyJosephind,2022-05-05T02:11:49.000Z,#saveEarth #savetheearth #savetheplanet #ClimateActionNow #ClimateEmergency #ClimateAction #ClimateJustice #climate #heatwaveinIndia #heatwave #HeatWaveIndia,,,30.44635585773107,-97.6850769652564,,1651734709.0,2022,5,5,2,11,49,True,climate
2060,2060,409610,409610,3547,https://twitter.com/Bookbosss2012/status/1522234068380917760,@Bookbosss2012,2022-05-05T15:17:38.000Z,"on this humid Thursday I’m calling it a great day..wearing one of my new library shirts from #txla22 ,have a matching bowband from @chroniclesofapixie & during the fire drill I got to hold a sweet baby and got spit up on!! #holdingbabiesmakesmehappy #babyspitupmeansagreatday",,2.0,30.44635585773107,-97.6850769652564,,1651781858.0,2022,5,5,15,17,38,True,humid
2068,2068,49164,49164,326,https://twitter.com/RadixHouseATX/status/1522237870282584066,@RadixHouseATX,2022-05-05T15:32:44.000Z,"We're watching the developing weather to our West. Radix House may close at our around 1pm. So hurry on over to your closest location!

http://RadixHouse.com #Coffee #atxcoffee #atx #latte #nitro #coldbrew",,,30.20760864121236,-97.8178190006616,,1651782764.0,2022,5,5,15,32,44,True,weather
2080,2080,49163,49163,325,https://twitter.com/RadixHouseATX/status/1522246728140926977,@RadixHouseATX,2022-05-05T16:07:56.000Z,"Radix House Coffee Shop locations will close at 1pm today due to incoming bad weather. 99 degrees this weekend. Come get some Cold Brew and iced lattes!
 @ Radix House Coffee Shop https://instagram.com/p/CdLrhi6Ozg5/?igshid=YTgzYjQ4ZTY=…",,,30.20760864121236,-97.8178190006616,,1651784876.0,2022,5,5,16,7,56,True,degree
2081,2081,365661,365661,191,https://twitter.com/RadixHouseEast6/status/1522247140986146817,@RadixHouseEast6,2022-05-05T16:09:35.000Z,"Radix House Coffee Shop locations will close at 1pm today due to incoming bad weather. 99 degrees this weekend. Come get some Cold Brew and iced lattes!
 @ Radix House Coffee Shop - East 6th https://instagram.com/p/CdLrto4OCoZ/?igshid=YTgzYjQ4ZTY=…",,,30.26362295234017,-97.7289279673566,,1651784975.0,2022,5,5,16,9,35,True,degree
2095,2095,322813,322813,329,https://twitter.com/SkylerBrandina/status/1522256377489629184,@SkylerBrandina,2022-05-05T16:46:17.000Z,"TX House Higher Education Committee interim hearing on 60x30TX progress on degree/certificate attainment, completion, & student debt to highlight the need for affordable and equitable outcome avenues in the remainder of the decade 
#txlege #txed",,24,30.27547333684536,-97.74137961911592,,1651787177.0,2022,5,5,16,46,17,True,degree
2155,2155,330449,330449,518,https://twitter.com/LarryChiang/status/1522299210749685760,@LarryChiang,2022-05-05T19:36:29.000Z,"Brokering a loop hole where you label a power plant “sustainable” and then backdoor grandfather in a clause that says 

Burn wood

Cut a forest down & burn wood. 

LarryCHIANG say:
“Audit, everything. #cs183audit”",,,30.263727352165727,-97.73972906587582,,1651797389.0,2022,5,5,19,36,29,True,burn
2238,2238,300376,300376,5224,https://twitter.com/LivvieStar/status/1522347295542501380,@LivvieStar,2022-05-05T22:47:33.000Z,"Some muli (radish) paratha  (bread) with chai was perfect for this amazing rainy weather.  @ Austin, Texas https://instagram.com/p/CdMZQjLrvJy/?igshid=YTgzYjQ4ZTY=…",,,30.26832471419792,-97.74867281176928,,1651808853.0,2022,5,5,22,47,33,True,weather
2493,2493,36739,36739,1,https://twitter.com/Sean_Ackley24/status/1522643488600375296,@Sean_Ackley24,2022-05-06T18:24:31.000Z,A modern home that is warm and cozy on the inside ,,1,30.21331019489278,-97.85014221183366,,1651879471.0,2022,5,6,18,24,31,True,warm
2523,2523,409575,409575,3512,https://twitter.com/MiGrant/status/1522662357763248131,@MiGrant,2022-05-06T19:39:30.000Z,Burn the witch!,,,30.44635585773107,-97.6850769652564,,1651883970.0,2022,5,6,19,39,30,True,burn
2598,2598,361,361,102,https://twitter.com/Russglennmusic/status/1522697965822951427,@Russglennmusic,2022-05-06T22:01:00.000Z,Looking forward to playing @familybusinessbeerco  tomorrow from 2-5 PM! Great brews and pizza! It’s gonna be a hot one so stay frosty at Family Business! @ Family Business Beer Company,,,30.292726921866308,-98.07974584552218,,1651892460.0,2022,5,6,22,1,0,True,hot
