,field_1,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,link,username,datetime,tweet_text,impressions,likes,longitude,latitude,timestamp,year,month,day,hour,minute,second,contains_keyword,keyword,is_heat_related,field_25,geometry,BG1,BG2,BG3,BG4,BG5,BG6,weight1,weight2,weight3,weight4,weight5,weight6,bot_score,VADAR_sentiment
2,,505,329750,329750,812,https://twitter.com/iwaspoisoned_/status/1520668065935024128,@iwaspoisoned_,2022-05-01T07:34:54.000Z,"Walmart, Lucky Charms - Austin, Texas - I have been nauseous for 4 months now,  I did eat lucky charms but I didn't think that would be the reason I did feel fatigue. I woul... Food Poisoning https://iwaspoisoned.com/i/j3LWRbN #walmart #luckycharms #fatigue #diarrhea #nausea",,,30.26733617391719,-97.73968297,1651408494,2022,5,1,7,34,54,True,fatigue,,,,484530325002,484530454003.0,,,,,0.5973808213764591,0.4026191786235243,,,,,1.5,-0.6705
17,,2080,49163,49163,325,https://twitter.com/RadixHouseATX/status/1522246728140926977,@RadixHouseATX,2022-05-05T16:07:56.000Z,"Radix House Coffee Shop locations will close at 1pm today due to incoming bad weather. 99 degrees this weekend. Come get some Cold Brew and iced lattes!
 @ Radix House Coffee Shop https://instagram.com/p/CdLrhi6Ozg5/?igshid=YTgzYjQ4ZTY=…",,,30.20760864121236,-97.817819,1651784876,2022,5,5,16,7,56,True,degree,,,,484530012004,484530013111.0,484530011023.0,,,,0.4812610735144744,0.3592957958966042,0.1594431305889204,,,,1.9,-0.5848
18,,2081,365661,365661,191,https://twitter.com/RadixHouseEast6/status/1522247140986146817,@RadixHouseEast6,2022-05-05T16:09:35.000Z,"Radix House Coffee Shop locations will close at 1pm today due to incoming bad weather. 99 degrees this weekend. Come get some Cold Brew and iced lattes!
 @ Radix House Coffee Shop - East 6th https://instagram.com/p/CdLrto4OCoZ/?igshid=YTgzYjQ4ZTY=…",,,30.26362295234017,-97.72892797,1651784975,2022,5,5,16,9,35,True,degree,,,,484530004023,484530004013.0,,,,,0.9935498271770442,0.006450173,,,,,2.8,-0.5848
43,,3961,329713,329713,775,https://twitter.com/iwaspoisoned_/status/1524075705474199552,@iwaspoisoned_,2022-05-10T17:15:38.000Z,"Lucky Charms, General Mills - Austin, Texas - I had nausea, chills, fever, stomach & body pains after eating a bowl of cereal Food Poisoning https://iwaspoisoned.com/i/O3Yn1vz #luckycharms #generalmills #nausea #diarrhea #vomiting #fever #chills #bodyache",,,30.26733617391719,-97.73968297,1652220938,2022,5,10,17,15,38,True,fever,,,,484530022161,,,,,,1.0000000000000002,,,,,,1.5,-0.2263
46,,4240,316006,316006,30,https://twitter.com/iwaspoisoned_/status/1524415772411543553,@iwaspoisoned_,2022-05-11T15:46:57.000Z,"Austin, Texas - On 5/5/22, ~12:30 p.m., I visited the deli and got a small gumbo with a little chili con carne, small salad (spinach, arugula, cheeses, chopped... Food Poisoning https://iwaspoisoned.com/i/dzPyQeg #nausea #diarrhea #headache #gas #cramps #fatigue #stomachpain",,,30.30706773942703,-97.7427773,1652302017,2022,5,11,15,46,57,True,cramps,,,,484530019221,484530020043.0,,,,,0.9804387491787828,0.019561251,,,,,1.5,-0.7003
47,,4297,427278,427278,11,https://twitter.com/TotalTrafficAUS/status/1524454472684089345,@TotalTrafficAUS,2022-05-11T18:20:43.000Z,Accident cleared in #Austin on Wells Br Pky at Thermal Dr #ATXtraffic http://bit.ly/10BGKax,,,30.43457314103781,-97.67982453,1652311243,2022,5,11,18,20,43,True,thermal,,,,484530423001,484530455002.0,484530430001.0,,,,0.7081348230224643,0.1853031634492861,0.1065620135282428,,,,2.3,-0.1779
55,,4881,335451,335451,697,https://twitter.com/TheJacobGarcia/status/1524923026059427857,@TheJacobGarcia,2022-05-13T01:22:35.000Z,It’s hot as hell,,5,30.268221037781217,-97.73787117,1652422955,2022,5,13,1,22,35,True,hot,,,,484530011021,484530011012.0,484530011023.0,484530012004.0,,,0.9072468439877104,0.078779044,0.0125965807616117,0.001377532,,,0.1,-0.6808
66,,5540,352212,352212,905,https://twitter.com/qmartinez/status/1525494857300574209,@qmartinez,2022-05-14T15:14:50.000Z,"Refugio’s Antwaan Gross said he was under the weather heading into the #UILstate meet but pulled it together to chase points for the Bobcats in triple jump. 
@CallerSports",,,30.283506290391127,-97.73227324,1652559290,2022,5,14,15,14,50,True,weather,,,,484530013122,484530013111.0,,,,,0.9069414073859352,0.093058593,,,,,1.6,-0.2617
73,,6073,366215,366215,131,https://twitter.com/kaioseiii/status/1525979119216902145,@kaioseiii,2022-05-15T23:19:07.000Z,this tiddy sweat ain’t no joke,,2,30.24016565856224,-97.72922997,1652674747,2022,5,15,23,19,7,True,sweat,,,,484530011021,484530011012.0,484530011023.0,484530012004.0,,,0.9072468439877104,0.078779044,0.0125965807616117,0.001377532,,,0.2,-0.2235
80,,6981,299820,299820,4668,https://twitter.com/ComixBookGurl/status/1526984944320389127,@ComixBookGurl,2022-05-18T17:55:55.000Z,"Cropped and edited. Here is 
@kinggoji
 take on Ryoko drinking sake in a hot spring!! The big cat battling the dragon on the screen is based off of my kitty cat, Ryoko!!! #ryoko #originalart @ Austin, Texas",,2,30.26832471419792,-97.74867281,1652914555,2022,5,18,17,55,55,True,hot,,,,484530404002,484530302004.0,484530404003.0,,,,0.8124337444461133,0.1023428585718955,0.085223397,,,,0.9,-0.5053
