,field_1,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,link,username,datetime,tweet_text,impressions,likes,longitude,latitude,timestamp,year,month,day,hour,minute,second,contains_keyword,keyword,is_heat_related,field_25,geometry,BG1,BG2,BG3,BG4,BG5,BG6,weight1,weight2,weight3,weight4,weight5,weight6,bot_score,VADAR_sentiment
0,,281,37947,37947,6,https://twitter.com/MichaelEWebber/status/1520468017028734977,@MichaelEWebber,2022-04-30T18:19:58.000Z,Watching my son at a hot soccer game under the shade of my umbrella.,,16,30.23493249721793,-97.84629078,1651360798,2022,4,30,18,19,58,True,hot,,,,484530321001,484530320002.0,,,,,0.5681435731070731,0.4318564268929565,,,,,1.4,0.0
1,,458,44242,44242,33,https://twitter.com/oldsheepdog_ay/status/1520596225229213696,@oldsheepdog_ay,2022-05-01T02:49:26.000Z,"Humid ride into work tonight but that max speed though 
#notbadforanoldguy",,,30.232049963784235,-97.82652594,1651391366,2022,5,1,2,49,26,True,humid,,,,484530441002,484530426002.0,,,,,0.8423341533732306,0.1576658466267401,,,,,0.6,0.0
4,,734,356029,356029,17,https://twitter.com/MichelleS_tv/status/1520879789149769728,@MichelleS_tv,2022-05-01T21:36:12.000Z,Sunday sweat session ,,6,30.396262802312613,-97.72901642,1651458972,2022,5,1,21,36,12,True,sweat,,,,484530022161,,,,,,1.0000000000000002,,,,,,0.1,0.0
6,,936,451182,451182,286,https://twitter.com/GailAlfarATX/status/1521144920576253952,@GailAlfarATX,2022-05-02T15:09:45.000Z,"Giga Texas’ Solar Roof will be massive!  
 
@JoeTegtmeyer
 5/2/2022",,181,30.22191359399337,-97.61968768,1651522185,2022,5,2,15,9,45,True,solar,,,,484530011023,484530012004.0,484530011021.0,,,,0.6303736399173322,0.3333763660450543,0.036249994,,,,0.4,0.0
8,,1203,291729,291729,252,https://twitter.com/buggsnax/status/1521358857028747274,@buggsnax,2022-05-03T05:19:51.000Z,"in a heat wave 
@snailmail",,,30.265635280097527,-97.75050737,1651573191,2022,5,3,5,19,51,True,heat,,,,484530019101,484530016021.0,484530019132.0,,,,0.6527387065076465,0.3466503947124416,0.000610899,,,,0.8,0.0
10,,1392,317344,317344,465,https://twitter.com/AguilarLeonard/status/1521619217279246337,@AguilarLeonard,2022-05-03T22:34:26.000Z,It’s going to be a hot summer.,,4,30.27458843,-97.74319152,1651635266,2022,5,3,22,34,26,True,hot,,,,484530423001,484530455002.0,484530430001.0,,,,0.7081348230224643,0.1853031634492861,0.1065620135282428,,,,0.4,0.0
11,,1691,409634,409634,3571,https://twitter.com/AntonyJosephind/status/1521891679145537536,@AntonyJosephind,2022-05-04T16:37:06.000Z,#savetheearth #savetheplanet #SaveTheOcean #ClimateActionNow #ClimateAction #ClimateEmergency #ClimateCrisis #ClimateJustice,,,30.44635585773107,-97.68507697,1651700226,2022,5,4,16,37,6,True,climate,,,,484530310001,484530321003.0,,,,,0.6819206446037205,0.3180793553963114,,,,,1.3,0.0
14,,1930,409620,409620,3557,https://twitter.com/AntonyJosephind/status/1522036312957726725,@AntonyJosephind,2022-05-05T02:11:49.000Z,#saveEarth #savetheearth #savetheplanet #ClimateActionNow #ClimateEmergency #ClimateAction #ClimateJustice #climate #heatwaveinIndia #heatwave #HeatWaveIndia,,,30.44635585773107,-97.68507697,1651734709,2022,5,5,2,11,49,True,climate,,,,484530365001,484530366003.0,,,,,0.8692400150430853,0.130759985,,,,,1.3,0.0
16,,2068,49164,49164,326,https://twitter.com/RadixHouseATX/status/1522237870282584066,@RadixHouseATX,2022-05-05T15:32:44.000Z,"We're watching the developing weather to our West. Radix House may close at our around 1pm. So hurry on over to your closest location!

http://RadixHouse.com #Coffee #atxcoffee #atx #latte #nitro #coldbrew",,,30.20760864121236,-97.817819,1651782764,2022,5,5,15,32,44,True,weather,,,,484530423001,484530455002.0,484530430001.0,,,,0.7081348230224643,0.1853031634492861,0.1065620135282428,,,,1.9,0.0
22,,2601,300337,300337,5185,https://twitter.com/auvie2/status/1522699392997859328,@auvie2,2022-05-06T22:06:40.000Z,"Currently 92 degrees. @ Austin, Texas https://instagram.com/p/CdO5X8eOBusd9op7fXunb_LokvsSoFBrPZZIOE0/?igshid=YTgzYjQ4ZTY=…",,,30.26832471419792,-97.74867281,1651892800,2022,5,6,22,6,40,True,degree,,,,484530423001,484530455002.0,484530430001.0,,,,0.7081348230224643,0.1853031634492861,0.1065620135282428,,,,0.1,0.0
