,field_1,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,link,username,datetime,tweet_text,impressions,likes,longitude,latitude,timestamp,year,month,day,hour,minute,second,contains_keyword,keyword,is_heat_related,field_25,geometry,BG1,BG2,BG3,BG4,BG5,BG6,weight1,weight2,weight3,weight4,weight5,weight6,bot_score,VADAR_sentiment
3,,581,443408,443408,12,https://twitter.com/schnerk/status/1520798417861201923,@schnerk,2022-05-01T16:12:52.000Z,Not a bad way to prep for a humid and warm soccer game. Thanks @briskit_wispuhrer & the @brothertonsbbqpftx team! #eatlocal #TXBBQ @ Brotherton's Black Iron Barbecue,,,30.44602467,-97.65261431,1651439572,2022,5,1,16,12,52,True,humid,,,,484530011021,484530011012.0,484530011023.0,484530012004.0,,,0.9072468439877104,0.078779044,0.0125965807616117,0.001377532,,,0.1,0.7871
5,,780,300518,300518,5366,https://twitter.com/a_j_t_j_a/status/1520910804479922176,@a_j_t_j_a,2022-05-01T23:39:27.000Z,Sunday Morning: #WWII Memorial just south of the #Texas line. The sun gave the monument a special glow. #RoadTrip #TX @ Texas https://instagram.com/p/CdCMBKUr6t0/?igshid=YTgzYjQ4ZTY=…,,,30.26832471419792,-97.74867281,1651466367,2022,5,1,23,39,27,True,glow,,,,484530423001,484530455002.0,484530430001.0,,,,0.7081348230224643,0.1853031634492861,0.1065620135282428,,,,0.3,0.4019
7,,1189,409704,409704,3641,https://twitter.com/andrerezaie/status/1521331019101655041,@andrerezaie,2022-05-03T03:29:14.000Z,I don’t even want to know what we’ll have to deal with in August when we’ve got 114° degree temps and the power is out,,,30.44635585773107,-97.68507697,1651566554,2022,5,3,3,29,14,True,degree,,,,484530423001,484530455002.0,484530430001.0,,,,0.7081348230224643,0.1853031634492861,0.1065620135282428,,,,0.4,0.0772
9,,1207,300481,300481,5329,https://twitter.com/shellyrosegold/status/1521396111742808064,@shellyrosegold,2022-05-03T07:47:53.000Z,"Had a great time in #Austin #Texas visiting my sister and brother-in-law… #Kayaking #comedy #chatting #music #sunshine #BBQ ahh it was a blast!  love you guys  @mattwaynesbrain @shegotjujueyeballs @ Austin, Texas",,,30.26832471419792,-97.74867281,1651582073,2022,5,3,7,47,53,True,sunshine,,,,484530329003,484530350001.0,,,,,0.5542086160696532,0.4457913839303151,,,,,,0.9359
12,,1789,67206,67206,32,https://twitter.com/MakeItRainShane/status/1521949278989688840,@MakeItRainShane,2022-05-04T20:25:59.000Z,"Thank you to 
@LCRA
 for hosting local meteorologists today to learn about the lake system during droughts and floods! We even got to tour the top of Tom Miller Dam. ",,57,30.294844921800696,-97.78615692,1651713959,2022,5,4,20,25,59,True,drought,,,,484530009024,484530009012.0,,,,,0.9084626036452096,0.091537396,,,,,0.3,0.5562
13,,1831,36641,36641,6,https://twitter.com/lisdptacc/status/1521970244599922688,@lisdptacc,2022-05-04T21:49:17.000Z,We are open tonight (5/4/22) from 4:45pm-7:15pm at BOTH locations! It is going to be in the triple digits this weekend - be sure to stop by & get some cool weather clothes! Tonight & Saturday are perfect times to have your student shop for themselves too!,,7,30.39014861414188,-97.84807647,1651718957,2022,5,4,21,49,17,True,weather,,,,484530334002,484530335001.0,484530335003.0,,,,0.5538861632996647,0.2944823983325835,0.1516314383677235,,,,1.1,0.7891
15,,2060,409610,409610,3547,https://twitter.com/Bookbosss2012/status/1522234068380917760,@Bookbosss2012,2022-05-05T15:17:38.000Z,"on this humid Thursday I’m calling it a great day..wearing one of my new library shirts from #txla22 ,have a matching bowband from @chroniclesofapixie & during the fire drill I got to hold a sweet baby and got spit up on!! #holdingbabiesmakesmehappy #babyspitupmeansagreatday",,2,30.44635585773107,-97.68507697,1651781858,2022,5,5,15,17,38,True,humid,,,,484530011021,484530011012.0,484530011023.0,484530012004.0,,,0.9072468439877104,0.078779044,0.0125965807616117,0.001377532,,,0.8,0.7418
19,,2238,300376,300376,5224,https://twitter.com/LivvieStar/status/1522347295542501380,@LivvieStar,2022-05-05T22:47:33.000Z,"Some muli (radish) paratha  (bread) with chai was perfect for this amazing rainy weather.  @ Austin, Texas https://instagram.com/p/CdMZQjLrvJy/?igshid=YTgzYjQ4ZTY=…",,,30.26832471419792,-97.74867281,1651808853,2022,5,5,22,47,33,True,weather,,,,484530021042,484530021041.0,,,,,0.7685626000545412,0.2314373999453872,,,,,1.2,0.802
20,,2493,36739,36739,1,https://twitter.com/Sean_Ackley24/status/1522643488600375296,@Sean_Ackley24,2022-05-06T18:24:31.000Z,A modern home that is warm and cozy on the inside ,,1,30.21331019489278,-97.85014221,1651879471,2022,5,6,18,24,31,True,warm,,,,484530370001,,,,,,1.0000000000000002,,,,,,0.3,0.2263
21,,2598,361,361,102,https://twitter.com/Russglennmusic/status/1522697965822951427,@Russglennmusic,2022-05-06T22:01:00.000Z,Looking forward to playing @familybusinessbeerco  tomorrow from 2-5 PM! Great brews and pizza! It’s gonna be a hot one so stay frosty at Family Business! @ Family Business Beer Company,,,30.292726921866308,-98.07974585,1651892460,2022,5,6,22,1,0,True,hot,,,,484530423001,484530455002.0,484530430001.0,,,,0.7081348230224643,0.1853031634492861,0.1065620135282428,,,,1.4,0.7767
25,,2890,368951,368951,462,https://twitter.com/InghamFNBCT/status/1522994774244003840,@InghamFNBCT,2022-05-07T17:40:24.000Z," Hydration is key. Ready for an outdoor broadcast of 
@BaylorSoftball
 vs Texas. First pitch at 1:02 on 101.3 FM or http://listen.streamon.fm/kbhthd2",,4,30.280747267456512,-97.72690656,1651963224,2022,5,7,17,40,24,True,hydration,,,,484539800001,,,,,,1.0000000000000002,,,,,,0.4,0.3612
26,,2906,4446,4446,54,https://twitter.com/seanlcraig/status/1523001464071004161,@seanlcraig,2022-05-07T18:06:59.000Z,"I am sure this will sock you…I ordered my first beer at Jester King and it is fresh and excellent!!  F$&*@ng hot..98 degrees in the shade. - Drinking a German-Style Pilsner by 
@jesterkingbeer
 at 
@jesterkingbeer
  — https://untp.beer/s/c1155959461",,,30.23105520962965,-97.99726202,1651964819,2022,5,7,18,6,59,True,degree,,,,484530011021,484530011012.0,484530011023.0,484530012004.0,,,0.9072468439877104,0.078779044,0.0125965807616117,0.001377532,,,0.6,0.8353
28,,2939,401091,401091,4,https://twitter.com/Kaxan_KXAN/status/1523022338144411649,@Kaxan_KXAN,2022-05-07T19:29:56.000Z,"Hey guys, due to heat the costume contest at Hank’s has been canceled. Thank you for thinking about our safety. Customer for life! Happy 4th Anniversary!  #Austin 
@austinhumane",,39,30.312022508061062,-97.69588064,1651969796,2022,5,7,19,29,56,True,heat,,,,484530011021,484530011012.0,484530011023.0,484530012004.0,,,0.9072468439877104,0.078779044,0.0125965807616117,0.001377532,,,0.4,0.8619
