,tweet_text,keyword
133,"oh hi - it’s much later. Malted corn is still dehydrated. I pulverized it into a powder (like a sweet funky pinole). Poured it into boiling water, cooking, stirring for 1 hr. Then added piloncillo & guajillo paste.

Will now ferment for about 4 days. We’ll see.",boiling
281,Watching my son at a hot soccer game under the shade of my umbrella.,hot
453,"Gorgeous night @radiocoffeeandbeer listening to  Sasha KA & the hottest guitarist around, 
@langfreeman
  @ Radio Coffee & Beer https://instagram.com/p/Cc_7WjHNpzAeIowyDOwvikGKa7dRoi606POl700/?igshid=YTgzYjQ4ZTY=…",hot
458,"Humid ride into work tonight but that max speed though 
#notbadforanoldguy",humid
505,"Walmart, Lucky Charms - Austin, Texas - I have been nauseous for 4 months now,  I did eat lucky charms but I didn't think that would be the reason I did feel fatigue. I woul... Food Poisoning https://iwaspoisoned.com/i/j3LWRbN #walmart #luckycharms #fatigue #diarrhea #nausea",fatigue
581,Not a bad way to prep for a humid and warm soccer game. Thanks @briskit_wispuhrer & the @brothertonsbbqpftx team! #eatlocal #TXBBQ @ Brotherton's Black Iron Barbecue,humid
734,Sunday sweat session ,sweat
780,Sunday Morning: #WWII Memorial just south of the #Texas line. The sun gave the monument a special glow. #RoadTrip #TX @ Texas https://instagram.com/p/CdCMBKUr6t0/?igshid=YTgzYjQ4ZTY=…,glow
936,"Giga Texas’ Solar Roof will be massive!  
 
@JoeTegtmeyer
 5/2/2022",solar
1078,"@mediciroasting
 drinking Papúa New Guinea washed coffee in this beautiful coffee house. There are trained good looking baristas. @ Medici Roasting",roasting
1169,The love for #teamdennis is REAL! #SpringBakingChampionship,baking
1189,I don’t even want to know what we’ll have to deal with in August when we’ve got 114° degree temps and the power is out,degree
1203,"in a heat wave 
@snailmail",heat
1207,"Had a great time in #Austin #Texas visiting my sister and brother-in-law… #Kayaking #comedy #chatting #music #sunshine #BBQ ahh it was a blast!  love you guys  @mattwaynesbrain @shegotjujueyeballs @ Austin, Texas",sunshine
1290,"Glad to have the opportunity to tell the story of artists in  , thanks to 
@GianniDalerta
 & 
@Tropical_Jewel",tropic
1392,It’s going to be a hot summer.,hot
1691,#savetheearth #savetheplanet #SaveTheOcean #ClimateActionNow #ClimateAction #ClimateEmergency #ClimateCrisis #ClimateJustice,climate
1750,"On May 18, we’re hosting our last show of the school year at 
@FarOutLounge
 

Join us for performances from artists: 
@wdrll4
, 
@urbanheatband
 and 
@DieSpitz
. Tickets are now available for $10 at http://kvrx.org/farout 

Save the date and see you there!

poster: gabi williams",heat
1789,"Thank you to 
@LCRA
 for hosting local meteorologists today to learn about the lake system during droughts and floods! We even got to tour the top of Tom Miller Dam. ",drought
1829,REALLY powerful/useful burnout+mental health in tech open space at #DevOpsDays…,burn
1831,We are open tonight (5/4/22) from 4:45pm-7:15pm at BOTH locations! It is going to be in the triple digits this weekend - be sure to stop by & get some cool weather clothes! Tonight & Saturday are perfect times to have your student shop for themselves too!,weather
1930,#saveEarth #savetheearth #savetheplanet #ClimateActionNow #ClimateEmergency #ClimateAction #ClimateJustice #climate #heatwaveinIndia #heatwave #HeatWaveIndia,climate
